HN,#genre#
CGTN 4MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010095/1.m3u8
CGTN 1.5MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010137/1.m3u8

JS,#genre#
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 2MHD,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/6/224/3221225917/index.m3u8
CGTN纪录 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/6/224/3221227574/index.m3u8

其他,#genre#
CGTN 2MHD,http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS
NHK World Japan,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
RT NEWS,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
RT Doc.,https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8
Macau Info,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
Taiwan Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
TED Conference,https://tedconferences-ted-1-us.xiaomi.wurl.tv/playlist.m3u8
Ted Talks,https://tedconferences-ted-1-eu.xiaomi.wurl.tv/playlist.m3u8


HN-yishiteng-202411,#genre#

北京卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010023/1.m3u8
北京卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010143/1.m3u8
纯享4K_17M2160,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8
哒啵赛事_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010120/1.m3u8
福建东南卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/1.m3u8
甘肃卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010033/1.m3u8
甘肃卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
广东大湾区卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010108/1.m3u8
广东嘉佳卡通_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010102/1.m3u8
广东卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010026/1.m3u8
广东卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010055/1.m3u8
广东卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010221/1.m3u8
广东珠江_2.5M720,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广西卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010044/1.m3u8
广西卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8
贵州卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010024/1.m3u8
贵州卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010100/1.m3u8
海南-儋州_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010018/1.m3u8
海南-海口1_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010014/1.m3u8
海南-海口1_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000071/1.m3u8
海南-海口2_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010015/1.m3u8
海南-海口2_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000077/1.m3u8
海南-海口3_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010016/1.m3u8
海南-海口3_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000072/1.m3u8
海南-三亚1_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010017/1.m3u8
海南公共_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010011/1.m3u8
海南公共_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000057/1.m3u8
海南公共_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000067/1.m3u8
海南三沙卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010007/1.m3u8
海南三沙卫视_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000073/1.m3u8
海南三沙卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
海南少儿_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010013/1.m3u8
海南少儿_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000110/1.m3u8
海南少儿_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000112/1.m3u8
海南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010008/1.m3u8
海南卫视_1.5M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010083/1.m3u8
海南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000075/1.m3u8
海南文旅_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010012/1.m3u8
海南文旅_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000076/1.m3u8
海南文旅_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000113/1.m3u8
海南新闻_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010009/1.m3u8
海南新闻_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000069/1.m3u8
海南新闻_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000111/1.m3u8
海南自贸_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010010/1.m3u8
海南自贸_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000070/1.m3u8
海南自贸_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000116/1.m3u8
河北卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010025/1.m3u8
河北卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/1.m3u8
河南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010036/1.m3u8
河南卫视_1.5M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010071/1.m3u8
黑龙江卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010030/1.m3u8
黑龙江卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010056/1.m3u8
黑龙江卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010222/1.m3u8
黑莓电影_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010073/1.m3u8
黑莓动画_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010002/1.m3u8
湖北卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010037/1.m3u8
湖北卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/1.m3u8
湖北卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010223/1.m3u8
湖南金鹰纪实_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010106/1.m3u8
湖南金鹰卡通_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010034/1.m3u8
湖南金鹰卡通_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8
湖南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010028/1.m3u8
